,Период,Сеть,Категория,Категория 2,Поставщик,Бренд,Наименование,УНИ Наименование,Граммовка,Вкус,"Продажи, шт","Продажи, руб","Продажи, тонн","Себест., руб"
44,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto Black,"Чипсы картофельные  BRUTO BLACK EDITION Тайский острый Том Ям,75г",Bruto Black Тайский острый Том Ям 75г,75,Том Ям,1659,147840.86770000003,0.12442500000000005,87595.19999999998
45,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto Black,"Чипсы картофельные BRUTO BLACK EDITION Краб с черным перцем,75г",Bruto Black Черный перец 75г,75,Краб и перцем,1183,105788.6488,0.08872500000000001,62462.4
46,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto Gourmet Line,"БРУТО Чипсы картофельные Зелёный перец,80г",BRUTO Gourmet Line Зеленый перец 80г,80,Перец зеленый,341,40696.13,0.027280000000000016,22915.2
47,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto Gourmet Line,"БРУТО Чипсы картофельные Копчёная соль,80г",BRUTO Gourmet Line Копчёная соль 80г,80,Соль копченая,690,82147.42220000004,0.05519999999999998,46367.99999999998
48,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto Gourmet Line,"БРУТО Чипсы картофельные Оливки и орегано,80г",BRUTO Gourmet Line Оливки и орегано 80г,80,Оливки и орегано,511,60820.93220000001,0.040879999999999986,34339.20000000001
49,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,Bruto Gourmet Line,"БРУТО Чипсы картофельные Сливочное масло и укроп,80г",BRUTO Gourmet Line Сливочное масло и укроп 80г,80,Масло и укроп,707,84150.90330000002,0.05656,47511.28
50,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,BRUTO КРАФТ,"БРУТО Чипсы картофельные вкус чеснок и травы,120г (крафт пак)",Bruto КРАФТ Чеснок и травы 120г,120,Чеснок и травы,1932,210629.4371,0.23183999999999985,142581.6
51,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,BRUTO КРАФТ,"БРУТО Чипсы картофельные с морской солью,120г (крафт пак)",Bruto КРАФТ Морская соль 120г,120,Соль,2362,256594.38649999996,0.2834400000000001,164623.29999999987
52,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Стамба ООО,BRUTO КРАФТ,"БРУТО Чипсы картофельные с черным перцем и морской солью,120г (крафт пак)",Bruto КРАФТ Морская соль и перец 120г,120,Соль и перец черный,1750,190361.09879999992,0.21000000000000002,121969.41999999998
53,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Лейз Бекон 70г,Lays Бекон 70г,70,Бекон,7735,757322.2589999997,0.54145,486491.97000000003
54,2024-09-01,Окей,Чипсы картофельные обычные,ЧСК обычные,Фрито Лэй,Lays,Лейз Гуакамоле по-мексикански 125г,Lays Гуакамоле по-мексикански 125г,125,Гуакамоле,4576,679185.7983999997,0.572,501880.8200000003
