store_id,retail_chain,region_name,city_name,address,store_code,store_name,store_format,full_address,lat,lon,geo_precision,geo_found_address,store_key
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Лиговский пр-кт, 153 Лит.А",59.914615,30.349142,exact,"Россия, Санкт-Петербург, Лиговский проспект, 153",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Лиговский пр-кт, 30 л.А, п.1Н",59.927563,30.360613,number,"Россия, Санкт-Петербург, Лиговский проспект, 30",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Луначарского пр-кт, 60 к1,лА,чп1Н",60.041903,30.340212,exact,"Россия, Санкт-Петербург, проспект Луначарского, 60к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Лыжный пер., 6,стр.1 п.2-Н",59.999287,30.199051,exact,"Россия, Санкт-Петербург, Лыжный переулок, 6",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Львовская ул, 27 лит.А,п.3Н",59.971204,30.420351,exact,"Россия, Санкт-Петербург, Львовская улица, 27",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Малая Монетная ул., 2 л.Г,ч.п.1Н",59.958778,30.322956,number,"Россия, Санкт-Петербург, Малая Монетная улица, 2Н",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Малый В.О. пр-т, 88 л.А,ч.п.2Н",59.938257,30.230627,number,"Россия, Санкт-Петербург, Малый проспект Васильевского острова, 88",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Марата ул., 86 л.А,ч.п.1Н",59.918986,30.338973,number,"Россия, Санкт-Петербург, улица Марата, 86",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Маршака пр-кт, 3 с.1,п.1-Н",60.036034,30.444687,exact,"Россия, Санкт-Петербург, проспект Маршака, 3",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Маршала Блюхера пр-кт, 41 лит.А",59.975279,30.407927,exact,"Россия, Санкт-Петербург, проспект Маршала Блюхера, 41",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Маршала Блюхера пр-кт, 9 к.2,лит.А",59.978903,30.374348,exact,"Россия, Санкт-Петербург, проспект Маршала Блюхера, 9к2",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Маршала Казакова ул, 72 к.1,с1,п.3",59.867502,30.171248,exact,"Россия, Санкт-Петербург, улица Маршала Казакова, 72к1, подъезд 3",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Маршала Казакова ул, 72 к.1с.1п.1",59.867254,30.172326,exact,"Россия, Санкт-Петербург, улица Маршала Казакова, 72к1, подъезд 1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Морская Набережная, 35 кор.1,литА",59.938676,30.314494,other,"Россия, Санкт-Петербург",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Московское ш., 7 л.А,ч.п.1Н",59.832014,30.338416,number,"Россия, Санкт-Петербург, Московское шоссе, 7",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Наличная ул, 44 к.1с.1",59.952074,30.232891,exact,"Россия, Санкт-Петербург, Наличная улица, 44к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Наставников пр-кт, 33 к.1,лит.А",59.949082,30.489432,exact,"Россия, Санкт-Петербург, проспект Наставников, 33к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Наставников пр-т, 35 к1л.А,п.3Н",59.950244,30.488237,number,"Россия, Санкт-Петербург, проспект Наставников, 35к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Науки пр-кт, 23 лит.А,п.1Н",60.010807,30.402124,exact,"Россия, Санкт-Петербург, проспект Науки, 23",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Новаторов б-р, 11 к.2,л.А",59.850066,30.268383,number,"Россия, Санкт-Петербург, бульвар Новаторов, 11к2",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Обводного канала наб, 118 Лит.С",59.908105,30.307361,exact,"Россия, Санкт-Петербург, набережная Обводного канала, 118С",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Обуховской Обороны пр-кт, 295 лит.БД",59.844018,30.470684,exact,"Россия, Санкт-Петербург, проспект Обуховской Обороны, 295БД",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Оптиков ул, 40/17 л.А, п.1-Н",60.000411,30.210307,number,"Россия, Санкт-Петербург, улица Оптиков, 40/17",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Орджоникидзе ул, к.4,л.А,п1",59.844696,30.32513,number,"Россия, Санкт-Петербург, улица Орджоникидзе, 4",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, п.Парголово, Брюлловская ул, 3 стр.1",60.069068,30.311826,exact,"Россия, Санкт-Петербург, посёлок Парголово, Брюлловская улица, 3",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, п.Шушары, Новгородский пр-кт, 6 к2с1чп1Н",59.80053,30.326118,near,"Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, 10",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Парашютная ул, 46 лит.А",60.032357,30.248216,exact,"Россия, Санкт-Петербург, Парашютная улица, 46",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Патриотов пр-кт, 19 к1с1ч.п.1Н",59.869187,30.158295,number,"Россия, Санкт-Петербург, проспект Патриотов, 19к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Петергофское ш, 51 Лит.А",59.849202,30.144245,exact,"Россия, Санкт-Петербург, Петергофское шоссе, 51",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Планерная ул, 49",60.017881,30.228875,exact,"Россия, Санкт-Петербург, Планерная улица, 49",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Планерная ул, 59 Лит.А",60.022238,30.225219,exact,"Россия, Санкт-Петербург, Планерная улица, 59",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Подвойского ул, 37 лит.А",59.917565,30.496995,exact,"Россия, Санкт-Петербург, улица Подвойского, 37",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Пражская ул., 48/50 л.А, п.2Н",59.863328,30.404083,number,"Россия, Санкт-Петербург, Пражская улица, 48/50",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Прибрежная ул, 13 лит.А",59.834167,30.5042,exact,"Россия, Санкт-Петербург, Прибрежная улица, 13",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Просвещения пр-кт, 60 к.1,лит.А",60.047425,30.365374,exact,"Россия, Санкт-Петербург, проспект Просвещения, 60к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Просвещения пр-кт, 74 к.2л.А",60.042447,30.389575,number,"Россия, Санкт-Петербург, проспект Просвещения, 74к2",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Просвещения пр-т, 19 л.А,чп1Н",60.052703,30.331202,number,"Россия, Санкт-Петербург, проспект Просвещения, 19",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Просвещения пр-т, 37 А",60.047429,30.356005,exact,"Россия, Санкт-Петербург, проспект Просвещения, 37А",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Просвещения пр-т, 81 лит.А",60.037441,30.40658,exact,"Россия, Санкт-Петербург, проспект Просвещения, 81",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Пятилеток пр-кт, 2 пом.38Н",59.919622,30.465222,exact,"Россия, Санкт-Петербург, проспект Пятилеток, 2",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Пятилеток пр-кт, 8 к.1,лит.А",59.922395,30.458853,exact,"Россия, Санкт-Петербург, проспект Пятилеток, 8к1А",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Революции ш., 41/39 л.А,п.1н",59.959683,30.439773,number,"Россия, Санкт-Петербург, шоссе Революции, 41/39",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Репищева ул., 13 к.1",60.023596,30.283933,exact,"Россия, Санкт-Петербург, Репищева улица, 13к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Савушкина ул, 116 лит.А",59.985935,30.218437,exact,"Россия, Санкт-Петербург, улица Савушкина, 116",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Савушкина ул, 132 к.1 лит.А",59.988878,30.198153,exact,"Россия, Санкт-Петербург, улица Савушкина, 132к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Савушкина ул., 141 л.А,чп1Н",59.990899,30.205789,number,"Россия, Санкт-Петербург, улица Савушкина, 141",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Свердловская наб., 60 лит.В",59.95548,30.409284,exact,"Россия, Санкт-Петербург, Свердловская набережная, 60В",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Симонова ул, 1 лит.А",60.05578,30.323809,exact,"Россия, Санкт-Петербург, улица Симонова, 1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Средний В.О. пр-т, 36/40,38 лит.Ж",59.938676,30.314494,other,"Россия, Санкт-Петербург",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, ст.Рыбацкое,уч.ж.д.'ул.Юннатов – ст.Рыбацкое', л.Е,чп1-Н",59.83513,30.495055,near,"Россия, Санкт-Петербург, улица Юннатов, 3",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Стародеревенская ул, 25 лит.А,п.1",60.004766,30.247857,exact,"Россия, Санкт-Петербург, Стародеревенская улица, 25",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Стачек пл., 7 л.А,чп1Н",59.900723,30.272219,number,"Россия, Санкт-Петербург, площадь Стачек, 7",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Стачек пр-т, 99 А",59.858792,30.248342,exact,"Россия, Санкт-Петербург, проспект Стачек, 99",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Стрельнинское ш, 1 лит.А",59.777424,30.084741,exact,"Россия, Санкт-Петербург, Стрельнинское шоссе, 1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Тверская ул., 58/6 л.А,ч.п.1Н",59.938676,30.314494,other,"Россия, Санкт-Петербург",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Типанова ул., 21 л.А,чп1Н",59.853288,30.340707,number,"Россия, Санкт-Петербург, улица Типанова, 21",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Тихая ул, 3 стр.1",59.861318,30.458242,exact,"Россия, Санкт-Петербург, Тихая улица, 3",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Туристская ул., 36 к.1,л.А",60.008324,30.211996,number,"Россия, Санкт-Петербург, Туристская улица, 36к1",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Уточкина ул., 4 корп.1",60.010956,30.261646,exact,"Россия, Санкт-Петербург, улица Уточкина, 4к1А",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Художников пр-кт, 13 к1лАчп1Н",59.938676,30.314494,other,"Россия, Санкт-Петербург",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Чкаловский пр-кт, 15 л.А,ч.п.1Н",59.962251,30.296006,number,"Россия, Санкт-Петербург, Чкаловский проспект, 15Л",
,,,,,,,,"г. Санкт-Петербург, г. Санкт-Петербург, Шлиссельбургский пр-т., 17 1 лит. А",59.839353,30.494839,number,"Россия, Санкт-Петербург, Шлиссельбургский проспект, 17к1",
